Name,Category,Total Time (us),Average Time per Event (us),Count
nn.Module: LayerNorm_6,python_function,144.808,48.26933333,3
<built-in method all of type object at 0x7fb2964778e0>,python_function,144.675,48.225,3
<built-in method size of Tensor object at 0x7fb118204460>,python_function,143.406,0.9372941176,153
<built-in method detach of Tensor object at 0x7fb118206300>,python_function,143.364,1.991166667,72
nn.Module: Linear_26,python_function,143.081,47.69366667,3
nn.Module: Linear_1,python_function,142.311,47.437,3
nn.Module: Linear_73,python_function,141.231,47.077,3
nn.Module: Linear_17,python_function,141.05,47.01666667,3
nn.Module: Linear_71,python_function,140.675,46.89166667,3
aten::select,cpu_op,139.911,1.793730769,78
nn.Module: Linear_39,python_function,137.416,45.80533333,3
nn.Module: LayerNorm_19,python_function,136.146,45.382,3
torch/_tensor.py(1071): __rsub__,python_function,135.703,45.23433333,3
nn.Module: LayerNorm_16,python_function,134.351,44.78366667,3
nn.Module: Linear_18,python_function,134.15,44.71666667,3
nn.Module: Linear_65,python_function,132.964,44.32133333,3
<built-in method rsub of type object at 0x7fb2964778e0>,python_function,129.923,43.30766667,3
nn.Module: Linear_34,python_function,129.452,43.15066667,3
nn.Module: LayerNorm_10,python_function,128.636,42.87866667,3
nn.Module: Linear_7,python_function,128.094,42.698,3
nn.Module: Linear_22,python_function,128.062,42.68733333,3
nn.Module: LayerNorm_22,python_function,126.788,42.26266667,3
nn.Module: Linear_58,python_function,126.37,42.12333333,3
aten::all,cpu_op,125.695,41.89833333,3
"void at::native::(anonymous namespace)::indexSelectLargeIndex<float, long, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long)",kernel,123.723,13.747,9
nn.Module: Linear_30,python_function,122.838,40.946,3
"void at::native::(anonymous namespace)::compute_grad_weight<float, long>(long const*, float const*, long const*, long, long, long const*, long const*, at::AccumulateType<float, true>::type*, long)",kernel,122.659,15.332375,8
nn.Module: Linear_41,python_function,121.956,40.652,3
nn.Module: LayerNorm_20,python_function,121.545,40.515,3
nn.Module: LayerNorm_12,python_function,121.291,40.43033333,3
nn.Module: Linear_38,python_function,120.954,40.318,3
aten::masked_fill_,cpu_op,119.925,39.975,3
autograd::engine::evaluate_function: SliceBackward0,cpu_op,118.795,39.59833333,3
TransposeBackward0,cpu_op,118.686,3.296833333,36
torch/nn/modules/loss.py(50): __init__,python_function,117.79,39.26333333,3
nn.Module: Linear_53,python_function,117.627,39.209,3
nn.Module: Linear_23,python_function,116.652,38.884,3
nn.Module: Linear_9,python_function,116.614,38.87133333,3
aten::rsub,cpu_op,116.583,38.861,3
nn.Module: Dropout_0,python_function,116.544,38.848,3
nn.Module: Linear_25,python_function,115.249,38.41633333,3
nn.Module: Linear_13,python_function,112.959,37.653,3
nn.Module: Linear_61,python_function,112.886,37.62866667,3
autograd::engine::evaluate_function: SelectBackward0,cpu_op,112.57,37.52333333,3
nn.Module: Linear_50,python_function,111.843,37.281,3
nn.Module: GELUActivation_2,python_function,111.368,37.12266667,3
<built-in method ones_like of type object at 0x7fb2964778e0>,python_function,111.179,37.05966667,3
SliceBackward0,cpu_op,110.843,36.94766667,3
nn.Module: GELUActivation_3,python_function,110.257,36.75233333,3
nn.Module: Linear_19,python_function,109.309,36.43633333,3
nn.Module: LayerNorm_7,python_function,108.81,36.27,3
nn.Module: Linear_31,python_function,108.435,36.145,3
nn.Module: LayerNorm_8,python_function,108.211,36.07033333,3
nn.Module: Linear_27,python_function,107.882,35.96066667,3
aten::slice_backward,cpu_op,105.633,35.211,3
nn.Module: Linear_8,python_function,105.44,35.14666667,3
inspect.py(176): get_annotations,python_function,104.603,2.905638889,36
SelectBackward0,cpu_op,103.823,34.60766667,3
aten::sub,cpu_op,102.19,34.06333333,3
aten::expand,cpu_op,102.02,2.429047619,42
nn.Module: LayerNorm_11,python_function,101.511,33.837,3
"void at::native::(anonymous namespace)::sum_and_scatter<float, long>(long const*, float*, long, long const*, long const*, at::AccumulateType<float, true>::type const*, long const*, long const*, long, long)",kernel,100.972,12.6215,8
nn.Module: LayerNorm_13,python_function,100.085,33.36166667,3
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags,cuda_runtime,99.052,8.254333333,12
aten::select_backward,cpu_op,98.537,32.84566667,3
torch/profiler/profiler.py(852): _transit_action,python_function,98.042,98.042,1
nn.Module: LayerNorm_21,python_function,97.112,32.37066667,3
torch/profiler/profiler.py(199): start_trace,python_function,97.021,97.021,1
nn.Module: LayerNorm_15,python_function,95.804,31.93466667,3
nn.Module: LayerNorm_17,python_function,95.284,31.76133333,3
aten::ones_like,cpu_op,94.43,31.47666667,3
nn.Module: Linear_32,python_function,94.386,31.462,3
nn.Module: CrossEntropyLoss_1,python_function,94.158,94.158,1
cudaDeviceGetAttribute,cuda_runtime,93.034,0.2215095238,420
nn.Module: GELUActivation_10,python_function,90.261,30.087,3
aten::log_softmax,cpu_op,89.82,29.94,3
numpy/lib/_version.py(151): __ge__,python_function,88.002,9.778,9
torch/nn/modules/loss.py(41): __init__,python_function,85.978,28.65933333,3
inspect.py(3097): replace,python_function,85.962,2.387833333,36
nn.Module: Dropout_24,python_function,84.586,28.19533333,3
nn.Module: CrossEntropyLoss_2,python_function,83.889,83.889,1
numpy/lib/_version.py(114): _compare,python_function,82.911,9.212333333,9
aten::eq,cpu_op,82.045,27.34833333,3
nn.Module: GELUActivation_4,python_function,80.166,26.722,3
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",kernel,79.924,1.631102041,49
<built-in function getattr>,python_function,78.447,0.2742902098,286
<built-in function asarray>,python_function,78.153,8.683666667,9
nn.Module: Tanh_0,python_function,78.051,26.017,3
transformers/tokenization_utils_base.py(2653): _get_padding_truncation_strategies,python_function,77.955,25.985,3
torch/_VF.py(27): __getattr__,python_function,77.91,0.9988461538,78
aten::_log_softmax,cpu_op,77.901,25.967,3
nn.Module: GELUActivation_9,python_function,77.808,25.936,3
aten::nll_loss_forward,cpu_op,77.221,25.74033333,3
nn.Module: Dropout_2,python_function,77.003,25.66766667,3
torch/cuda/__init__.py(437): __init__,python_function,75.93,75.93,1
nn.Module: GELUActivation_0,python_function,75.622,25.20733333,3
<built-in method  of PyCapsule object at 0x7fb10d34f000>,python_function,75.582,12.597,6
aten::slice,cpu_op,74.289,4.127166667,18
torch/cuda/_utils.py(9): _get_device_index,python_function,73.071,73.071,1
aten::detach,cpu_op,70.632,0.981,72
tqdm/std.py(679): _get_free_pos,python_function,70.069,23.35633333,3
autograd::engine::evaluate_function: TanhBackward0,cpu_op,68.997,22.999,3
torch/nn/modules/activation.py(391): forward,python_function,68.912,22.97066667,3
nn.Module: GELUActivation_1,python_function,68.299,22.76633333,3
tqdm/std.py(663): __new__,python_function,67.644,22.548,3
autograd::engine::evaluate_function: LogSoftmaxBackward0,cpu_op,66.534,22.178,3
<built-in method tanh of type object at 0x7fb2964778e0>,python_function,64.327,21.44233333,3
nn.Module: Dropout_1,python_function,63.585,21.195,3
nn.Module: GELUActivation_8,python_function,63.515,21.17166667,3
datasets/formatting/formatting.py(530): _check_valid_index_key,python_function,63.18,7.02,9
nn.Module: GELUActivation_6,python_function,62.076,20.692,3
nn.Module: Dropout_3,python_function,61.478,20.49266667,3
nn.Module: Dropout_16,python_function,61.472,20.49066667,3
<built-in function len>,python_function,61.144,0.2264592593,270
aten::dropout,cpu_op,60.867,0.7803461538,78
dataclasses.py(1278): fields,python_function,60.367,6.707444444,9
cudaStreamIsCapturing,cuda_runtime,59.988,1.666333333,36
transformers/tokenization_utils_base.py(1086): __getattr__,python_function,59.955,6.661666667,9
re/__init__.py(164): match,python_function,59.858,1.330177778,45
nn.Module: GELUActivation_7,python_function,59.75,19.91666667,3
AddBackward0,cpu_op,59.139,0.7581923077,78
enum.py(720): __call__,python_function,58.446,0.77928,75
cudaFuncGetAttributes,cuda_runtime,58.427,1.622972222,36
TanhBackward0,cpu_op,58.307,19.43566667,3
nn.Module: GELUActivation_11,python_function,58.238,19.41266667,3
LogSoftmaxBackward0,cpu_op,55.755,18.585,3
torch/nn/modules/module.py(1932): __setattr__,python_function,55.655,6.183888889,9
inspect.py(754): unwrap,python_function,54.973,1.527027778,36
aten::tanh,cpu_op,53.979,17.993,3
nn.Module: GELUActivation_5,python_function,53.788,17.92933333,3
transformers/utils/generic.py(121): is_tensor,python_function,53.278,17.75933333,3
<built-in function all>,python_function,51.646,2.151916667,24
transformers/utils/generic.py(162): is_torch_tensor,python_function,51.612,0.6616923077,78
<built-in function hasattr>,python_function,50.473,0.5868953488,86
transformers/utils/import_utils.py(1661): requires_backends,python_function,49.608,16.536,3
aten::is_pinned,cpu_op,48.94,5.437777778,9
<built-in method cpu of Tensor object at 0x7fb118206e90>,python_function,47.728,0.6628888889,72
torch/autograd/profiler.py(358): _start_trace,python_function,47.68,47.68,1
aten::tanh_backward,cpu_op,47.563,15.85433333,3
nn.Module: Dropout_13,python_function,45.755,15.25166667,3
aten::_log_softmax_backward_data,cpu_op,45.27,15.09,3
transformers/configuration_utils.py(208): __getattribute__,python_function,42.231,1.173083333,36
nn.Module: Dropout_23,python_function,41.186,13.72866667,3
torch/_utils.py(795): _get_device_index,python_function,41.113,41.113,1
torch/utils/_pytree.py(699): _is_leaf,python_function,40.802,1.700083333,24
typing.py(1221): __instancecheck__,python_function,39.588,3.299,12
torch/utils/data/dataloader.py(697): _next_index,python_function,39.316,13.10533333,3
transformers/utils/generic.py(437): __setattr__,python_function,39.3,0.8733333333,45
transformers/modeling_utils.py(5058): warn_if_padding_and_no_attention_mask,python_function,39.129,13.043,3
aten::resize_,cpu_op,38.233,2.124055556,18
transformers/utils/generic.py(430): __getitem__,python_function,38.076,2.5384,15
transformers/utils/generic.py(82): infer_framework_from_repr,python_function,37.862,0.5048266667,75
torch/backends/__init__.py(38): __get__,python_function,37.473,0.49964,75
torch/autograd/profiler.py(740): __init__,python_function,37.458,6.243,6
numpy/_core/numerictypes.py(471): issubdtype,python_function,37.018,2.056555556,18
torch/nn/modules/module.py(476): __init__,python_function,36.061,12.02033333,3
detach,cpu_op,35.735,0.4963194444,72
torch/_utils.py(769): _get_current_device_index,python_function,35.465,35.465,1
Memcpy DtoD (Device -> Device),gpu_memcpy,34.963,5.827166667,6
datasets/formatting/__init__.py(122): get_formatter,python_function,34.758,11.586,3
"void at::native::(anonymous namespace)::embedding_backward_feature_kernel<float, float, long>(long const*, float const*, float*, int, long, int)",kernel,34.416,8.604,4
<frozen abc>(117): __instancecheck__,python_function,34.145,0.3448989899,99
torch/utils/data/sampler.py(346): __iter__,python_function,33.993,11.331,3
torch/utils/_pytree.py(931): tree_iter,python_function,33.653,2.804416667,12
<built-in method get of dict object at 0x7fb11a91e6c0>,python_function,33.26,0.2173856209,153
torch/utils/_pytree.py(692): _get_node_type,python_function,33.203,0.790547619,42
torch/_utils.py(753): _get_device_attr,python_function,32.87,32.87,1
nn.Module: Dropout_21,python_function,32.08,10.69333333,3
nn.Module: Dropout_7,python_function,31.406,10.46866667,3
<built-in function fromiter>,python_function,31.256,10.41866667,3
nn.Module: Dropout_10,python_function,30.909,10.303,3
torch/cuda/__init__.py(444): __exit__,python_function,30.746,30.746,1
nn.Module: Dropout_4,python_function,30.398,10.13266667,3
nn.Module: Dropout_6,python_function,30.165,10.055,3
cudaFuncSetAttribute,cuda_runtime,29.741,0.8261388889,36
nn.Module: Dropout_25,python_function,29.297,9.765666667,3
nn.Module: Dropout_19,python_function,29.214,9.738,3
nn.Module: Dropout_11,python_function,28.905,9.635,3
tqdm/utils.py(213): __init__,python_function,28.816,9.605333333,3
nn.Module: Dropout_15,python_function,28.691,9.563666667,3
typing.py(1492): __subclasscheck__,python_function,28.531,2.377583333,12
nn.Module: Dropout_5,python_function,28.496,9.498666667,3
tqdm/std.py(1147): __del__,python_function,28.298,9.432666667,3
nn.Module: Dropout_22,python_function,28.217,9.405666667,3
nn.Module: Dropout_9,python_function,28.193,9.397666667,3
re/__init__.py(280): _compile,python_function,28.016,0.4446984127,63
inspect.py(3076): <genexpr>,python_function,27.995,0.259212963,108
torch/_tensor.py(1128): __len__,python_function,27.533,9.177666667,3
<built-in function issubclass>,python_function,27.521,0.3988550725,69
nn.Module: Dropout_17,python_function,26.861,8.953666667,3
<built-in function _has_torch_function_unary>,python_function,26.068,0.3103333333,84
nn.Module: Dropout_20,python_function,25.936,8.645333333,3
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",kernel,25.402,8.467333333,3
nn.Module: Dropout_12,python_function,25.089,8.363,3
torch/autograd/profiler.py(1160): increment_step,python_function,24.931,8.310333333,3
transformers/utils/generic.py(156): _is_torch,python_function,24.821,0.3182179487,78
nn.Module: Dropout_14,python_function,24.664,8.221333333,3
numpy/_core/fromnumeric.py(1464): searchsorted,python_function,24.621,8.207,3
datasets/features/features.py(718): _is_zero_copy_only,python_function,24.247,2.694111111,9
nn.Module: Dropout_18,python_function,23.849,7.949666667,3
nn.Module: Dropout_8,python_function,23.654,7.884666667,3
"void at_cuda_detail::cub::DeviceRadixSortHistogramKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<long, at::cuda::cub::detail::OpaqueType<8>, unsigned long long>::Policy900, false, long, unsigned long long, at_cuda_detail::cub::detail::identity_decomposer_t>(unsigned long long*, long const*, unsigned long long, int, int, at_cuda_detail::cub::detail::identity_decomposer_t)",kernel,23.643,2.955375,8
torch/utils/_pytree.py(681): _is_namedtuple_instance,python_function,23.562,0.561,42
ampere_sgemm_32x32_sliced1x4_tn,kernel,23.415,7.805,3
"void at::native::(anonymous namespace)::krn_partial_segment_offset<long>(long*, long const*, long const*, long const*, long const*)",kernel,23.212,2.9015,8
<built-in function max>,python_function,23.209,2.578777778,9
transformers/utils/generic.py(456): to_tuple,python_function,22.402,3.733666667,6
<frozen _collections_abc>(974): update,python_function,22.286,3.714333333,6
<built-in function _abc_instancecheck>,python_function,22.119,0.2234242424,99
torch/_utils.py(736): _get_available_device_type,python_function,21.869,21.869,1
datasets/formatting/formatting.py(193): <genexpr>,python_function,21.063,0.2925416667,72
<built-in method append of list object at 0x7fb10d2d4780>,python_function,21.021,0.09468918919,222
typing.py(392): inner,python_function,20.45,2.272222222,9
torch/nn/modules/module.py(522): register_buffer,python_function,20.234,6.744666667,3
<built-in method match of re.Pattern object at 0x7fb17226bde0>,python_function,20.105,0.4467777778,45
torch/cuda/__init__.py(116): is_available,python_function,20.1,20.1,1
<built-in function _has_torch_function_variadic>,python_function,19.881,0.2285172414,87
tqdm/std.py(1265): close,python_function,19.862,6.620666667,3
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",kernel,19.815,6.605,3
datasets/formatting/torch_formatter.py(33): __init__,python_function,18.917,6.305666667,3
copy.py(61): copy,python_function,18.743,6.247666667,3
numpy/_core/fromnumeric.py(51): _wrapfunc,python_function,18.708,6.236,3
datasets/formatting/formatting.py(192): <genexpr>,python_function,18.59,2.065555556,9
aten::detach_,cpu_op,18.463,1.025722222,18
Memcpy HtoD (Pinned -> Device),gpu_memcpy,18.116,2.012888889,9
<built-in function _get_cudnn_enabled>,python_function,17.849,0.2379866667,75
tqdm/std.py(110): __enter__,python_function,17.805,2.9675,6
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, false, float, float, float, true, false, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*, float*, float const*, float const*, float const*, float const*)",kernel,17.136,1.904,9
transformers/utils/import_utils.py(779): is_torchdynamo_compiling,python_function,17.053,2.842166667,6
"void at_cuda_detail::cub::DeviceUniqueByKeySweepKernel<at_cuda_detail::cub::DeviceUniqueByKeyPolicy<long const*, thrust::THRUST_200500_500_600_700_750_800_860_900_NS::counting_iterator<int, thrust::THRUST_200500_500_600_700_750_800_860_900_NS::use_default, thrust::THRUST_200500_500_600_700_750_800_860_900_NS::use_default, thrust::THRUST_200500_500_600_700_750_800_860_900_NS::use_default> >::Policy900, long const*, thrust::THRUST_200500_500_600_700_750_800_860_900_NS::counting_iterator<int, thrust::THRUST_200500_500_600_700_750_800_860_900_NS::use_default, thrust::THRUST_200500_500_600_700_750_800_860_900_NS::use_default, thrust::THRUST_200500_500_600_700_750_800_860_900_NS::use_default>, long*, long*, long*, at_cuda_detail::cub::ScanTileState<unsigned long long, true>, cuda::std::__4::equal_to<void>, unsigned long long>(long const*, thrust::THRUST_200500_500_600_700_750_800_860_900_NS::counting_iterator<int, thrust::THRUST_200500_500_600_700_750_800_860_900_NS::use_default, thrust::THRUST_200500_500_600_700_750_800_860_900_NS::use_default, thrust::THRUST_200500_500_600_700_750_800_860_900_NS::use_default>, long*, long*, long*, at_cuda_detail::cub::ScanTileState<unsigned long long, true>, cuda::std::__4::equal_to<void>, unsigned long long, int, at_cuda_detail::cub::detail::vsmem_t)",kernel,16.559,2.069875,8
re/__init__.py(174): search,python_function,16.393,0.9107222222,18
"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, false, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float> >(cublasGemmSmallNParams<cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float const>, cublasGemvTensorStridedBatched<float>, float>)",kernel,16.243,5.414333333,3
collections/__init__.py(1120): __init__,python_function,16.134,5.378,3
numpy/_core/numerictypes.py(289): issubclass_,python_function,15.562,0.4322777778,36
<built-in method isidentifier of str object at 0x95e8e0>,python_function,15.322,0.2128055556,72
torch/cuda/__init__.py(112): _nvml_based_avail,python_function,15.265,15.265,1
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",kernel,15.148,5.049333333,3
"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}, std::array<char*, 3ul> >(int, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}, std::array<char*, 3ul>)",kernel,15.005,5.001666667,3
accelerate/data_loader.py(99): __iter__,python_function,14.949,0.622875,24
tqdm/std.py(113): __exit__,python_function,14.931,2.4885,6
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnOther_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnOther_add<float>, std::array<char*, 2ul>)",kernel,14.86,4.953333333,3
aten::unsqueeze,cpu_op,14.638,2.439666667,6
_weakrefset.py(70): __iter__,python_function,14.631,4.877,3
cudaPointerGetAttributes,cuda_runtime,14.568,1.618666667,9
tqdm/std.py(102): acquire,python_function,14.364,2.394,6
"void at_cuda_detail::cub::DeviceScanKernel<at_cuda_detail::cub::DeviceScanPolicy<long, at::cuda::cub::(anonymous namespace)::SumOp<long> >::Policy900, long const*, long*, at_cuda_detail::cub::ScanTileState<long, true>, at::cuda::cub::(anonymous namespace)::SumOp<long>, at_cuda_detail::cub::detail::InputValue<long, long*>, int, long>(long const*, long*, at_cuda_detail::cub::ScanTileState<long, true>, int, at::cuda::cub::(anonymous namespace)::SumOp<long>, at_cuda_detail::cub::detail::InputValue<long, long*>, int)",kernel,13.594,1.69925,8
torch/profiler/profiler.py(460): schedule_fn,python_function,13.505,4.501666667,3
<built-in method __contains__ of frozenset object at 0x7fb29e760120>,python_function,13.414,0.1863055556,72
inspect.py(378): isfunction,python_function,13.411,0.1862638889,72
<frozen os>(808): getenv,python_function,13.304,13.304,1
_weakrefset.py(110): remove,python_function,12.996,4.332,3
transformers/utils/generic.py(460): <genexpr>,python_function,12.961,0.8640666667,15
<built-in function callable>,python_function,12.911,0.1195462963,108
datasets/formatting/formatting.py(227): decode_batch,python_function,12.84,4.28,3
torch/_ops.py(1002): <lambda>,python_function,12.432,2.072,6
<built-in method items of dict object at 0x7fb1193da280>,python_function,12.36,0.07313609467,169
transformers/utils/import_utils.py(1693): is_torch_fx_proxy,python_function,12.204,4.068,3
<built-in method remove of set object at 0x7fb18bc6a340>,python_function,12.161,2.026833333,6
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8x5_nn_align1>(cutlass_80_simt_sgemm_128x32_8x5_nn_align1::Params),kernel,11.781,3.927,3
_weakrefset.py(27): __exit__,python_function,11.707,3.902333333,3
<frozen _collections_abc>(804): get,python_function,11.661,11.661,1
_weakrefset.py(85): add,python_function,11.571,3.857,3
tqdm/std.py(106): release,python_function,11.543,1.923833333,6
<built-in method values of mappingproxy object at 0x7fb10d34f910>,python_function,11.513,0.3198055556,36
<built-in method searchsorted of numpy.ndarray object at 0x7fb10d33fb10>,python_function,11.429,3.809666667,3
torch/jit/_trace.py(1321): is_tracing,python_function,11.389,1.898166667,6
enum.py(1123): __new__,python_function,11.385,0.1518,75
functools.py(396): __get__,python_function,11.019,3.673,3
torch/nn/parameter.py(10): __instancecheck__,python_function,10.942,1.215777778,9
transformers/tokenization_utils_base.py(3692): _pad,python_function,10.811,0.4504583333,24
datasets/formatting/formatting.py(396): __init__,python_function,10.692,1.782,6
<frozen abc>(121): __subclasscheck__,python_function,10.546,0.8788333333,12
collections/__init__.py(1182): __copy__,python_function,10.523,3.507666667,3
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1})",kernel,10.424,1.489142857,7
torch/utils/_config_module.py(573): __getattr__,python_function,10.201,10.201,1
_weakrefset.py(63): __iter__,python_function,10.144,3.381333333,3
torch/profiler/profiler.py(346): _get_distributed_info,python_function,10.048,10.048,1
transformers/utils/generic.py(443): __setitem__,python_function,9.89,0.6593333333,15
<frozen os>(709): __getitem__,python_function,9.716,9.716,1
torch/utils/_pytree.py(466): _dict_flatten,python_function,9.483,1.5805,6
"void at_cuda_detail::cub::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<unsigned long long, true>, long*>(at_cuda_detail::cub::ScanTileState<unsigned long long, true>, int, long*)",kernel,9.16,1.145,8
"void at::native::(anonymous namespace)::krn_partials_per_segment<long>(long*, long const*, long const*, long)",kernel,8.842,1.10525,8
"void at_cuda_detail::cub::DeviceRadixSortExclusiveSumKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<long, at::cuda::cub::detail::OpaqueType<8>, unsigned long long>::Policy900, unsigned long long>(unsigned long long*)",kernel,8.58,1.0725,8
accelerate/utils/operations.py(44): is_torch_tensor,python_function,8.361,2.787,3
datasets/formatting/formatting.py(549): key_to_query_type,python_function,8.22,2.74,3
"void at::native::(anonymous namespace)::compute_num_of_partial_segments<long>(long const*, long const*, long const*, long*)",kernel,8.18,1.0225,8
detach_,cpu_op,8.126,0.4514444444,18
torch/profiler/profiler.py(331): add_metadata_json,python_function,8.12,2.706666667,3
transformers/tokenization_utils_base.py(282): __getattr__,python_function,7.813,2.604333333,3
aten::set_,cpu_op,7.807,0.8674444444,9
transformers/tokenization_utils.py(711): convert_tokens_to_ids,python_function,7.737,2.579,3
transformers/utils/generic.py(175): is_torch_device,python_function,7.693,2.564333333,3
<built-in method startswith of str object at 0x7fb10d2d60b0>,python_function,7.512,0.10016,75
ampere_sgemm_32x32_sliced1x4_nt,kernel,7.46,2.486666667,3
<built-in method _disable_profiler of PyCapsule object at 0x7fb18c151fb0>,python_function,7.398,7.398,1
torch/utils/_config_module.py(274): __getattr__,python_function,7.381,7.381,1
<built-in function id>,python_function,7.379,0.1756904762,42
"void at::native::reduce_kernel<256, 2, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4>)",kernel,7.315,2.438333333,3
torch/_utils.py(771): <lambda>,python_function,7.251,7.251,1
transformers/utils/generic.py(376): <genexpr>,python_function,7.132,0.2641481481,27
<built-in function _abc_subclasscheck>,python_function,7.115,0.5929166667,12
aten::lift_fresh,cpu_op,7.066,0.3925555556,18
